symbol,name,industry,E,S,G,ESG
GEV,GE Vernova, , , , , 
KR,The Kroger Co.,Food Retailers,6.55,9.12,5.6,21.27
GIS,General Mills Inc.,Food Products,8.32,8.72,4.09,21.13
DOW,Dow Inc., , , , , 
HUM,Humana Inc.,Healthcare,0.01,16.71,5.74,22.47
OTIS,Otis Worldwide Corporation, , , , , 
LHX,L3Harris Technologies Inc., , , , , 
YUM,Yum! Brands Inc.,Consumer Services,4.53,11.45,4.12,20.1
GEHC,GE HealthCare Technologies Inc., , , , , 
FAST,Fastenal Company,Traders & Distributors,9.28,8.29,7.1,24.67
CTVA,Corteva Inc., , , , , 
CHTR,Charter Communications Inc.,Media,6.05,10.72,7.95,24.72
SYY,Sysco Corporation,Food Retailers,5.42,6.05,4.47,15.95
HSY,The Hershey Company,Food Products,10.52,10.4,5.14,26.05
EXC,Exelon Corporation,Utilities,7.38,9.05,6.44,22.86
KVUE,Kenvue Inc., , , , , 
PWR,Quanta Services Inc.,Construction & Engineering,12.15,15.73,9.04,36.91
MLM,Martin Marietta Materials Inc.,Construction Materials,16.68,4.77,8.67,30.12
IR,Ingersoll Rand Inc.,Machinery,3.64,11.22,5.83,20.68
FANG,Diamondback Energy Inc., , , , , 
PCG,PG&E Corporation,Utilities,9.58,15.38,5.42,30.38
MSCI,MSCI Inc.,Diversified Financials,1.57,6.97,7.74,16.27
ACGL,Arch Capital Group Ltd.,Insurance,1.47,10.1,10.89,22.46
NDAQ,Nasdaq Inc.,Diversified Financials,0.03,5.63,7.43,13.09
RCL,Royal Caribbean Cruises Ltd.,Consumer Services,8.15,7.68,4.88,20.71
IT,Gartner Inc.,Software & Services,0.11,13.17,5.64,18.93
LVS,Las Vegas Sands Corp.,Consumer Services,2.3,7.72,8.67,18.69
CSGP,CoStar Group Inc.,Software & Services,4.86,9.34,7.71,21.91
HAL,Halliburton Company,Energy Services,9.79,8.9,6.94,25.63
VMC,Vulcan Materials Company,Construction Materials,13.42,6.81,9.05,29.28
EA,Electronic Arts Inc.,Software & Services,0.13,8.42,4.73,13.29
CTSH,Cognizant Technology Solutions Corporation,Software & Services,1.11,7.64,5.91,14.66
DVN,Devon Energy Corporation,Oil & Gas Producers,17.67,8.56,7.53,33.76
PEG,Public Service Enterprise Group Incorporated,Utilities,12.48,9.28,5.46,27.23
BKR,Baker Hughes Company, , , , , 
GPN,Global Payments Inc.,Software & Services,3.65,10.68,6.54,20.87
LYB,LyondellBasell Industries N.V.,Chemicals,13.5,2.1,5.09,20.69
DFS,Discover Financial Services,Diversified Financials,0.13,11.87,10.51,22.5
CDW,CDW Corporation,Technology Hardware,2.48,3.21,3.52,9.21
ED,Consolidated Edison Inc.,Utilities,6.86,10.86,6.08,23.81
VRSK,Verisk Analytics Inc.,Commercial Services,0.05,12.49,4.98,17.53
DAL,Delta Air Lines Inc.,Transportation,9.88,14.57,5.8,30.26
ROK,Rockwell Automation Inc.,Electrical Equipment,5.37,6.64,5.65,17.67
XYL,Xylem Inc.,Machinery,4.27,8.66,5.19,18.13
DG,Dollar General Corporation,Retailing,3.5,8.56,5.53,17.59
ADM,Archer-Daniels-Midland Company,Food Products,16.64,10.15,5.01,31.79
DD,DuPont de Nemours Inc.,Chemicals,14.66,7.99,5.94,28.6
XEL,Xcel Energy Inc.,Utilities,12.7,9.26,4.49,26.45
PPG,PPG Industries Inc.,Chemicals,10.98,7.7,6.54,25.21
HIG,The Hartford Financial Services Group Inc.,Insurance,1.81,7.24,7.58,16.63
VICI,VICI Properties Inc., , , , , 
MPWR,Monolithic Power Systems Inc., , , , , 
FICO,Fair Isaac Corporation, , , , , 
WST,West Pharmaceutical Services Inc., , , , , 
ANSS,ANSYS Inc.,Software & Services,3.51,7.32,5.07,15.89
FTV,Fortive Corporation,Machinery,16.09,13.97,4.7,34.76
EXR,Extra Space Storage Inc.,Real Estate,4.23,3.72,7.26,15.2
BIIB,Biogen Inc.,Pharmaceuticals,0.42,14.46,7.37,22.24
EFX,Equifax Inc.,Commercial Services,0.08,16.3,6.78,23.16
TSCO,Tractor Supply Company,Retailing,3.43,8.19,4.47,16.1
GRMN,Garmin Ltd.,Consumer Durables,4.78,11.63,4.25,20.66
EIX,Edison International,Utilities,10.98,11.42,5.11,27.51
RMD,ResMed Inc.,Healthcare,3.54,12.41,10.43,26.39
HPQ,HP Inc.,Technology Hardware,0.11,5.05,6.09,11.26
WTW,Willis Towers Watson PLC,Insurance,0.07,7.83,10.76,18.66
GLW,Corning Incorporated,Technology Hardware,5.53,4.81,6.13,16.48
AVB,AvalonBay Communities Inc.,Real Estate,2.96,2.05,4.75,9.76
DLTR,Dollar Tree Inc.,Retailing,3.29,12.78,4.02,20.08
CBRE,CBRE Group Inc.,Real Estate,1.46,1.89,4.64,7.98
RJF,Raymond James Financial Inc.,Diversified Financials,2.35,11.23,13.44,27.02
MTD,Mettler-Toledo International Inc.,Pharmaceuticals,1,7.41,4.69,13.1
EBAY,eBay Inc.,Software & Services,2.74,7.65,7.21,17.6
HWM,Howmet Aerospace Inc., , , , , 
ON,ON Semiconductor Corporation,Semiconductors,11.79,5.69,4.95,22.43
WAB,Westinghouse Air Brake Technologies Corporation,Machinery,5.36,11.99,5.98,23.33
CHD,Church & Dwight Co. Inc.,Household Products,6.89,6.31,6.66,19.86
WEC,WEC Energy Group Inc.,Utilities,13.36,8.96,5.13,27.46
TRGP,Targa Resources Corp.,Refiners & Pipelines,14.23,14.75,4.24,33.21
KEYS,Keysight Technologies Inc.,Technology Hardware,1.2,1.75,4.65,7.6
ZBH,Zimmer Biomet Holdings Inc.,Healthcare,3.6,14.52,7.89,26.02
FITB,Fifth Third Bancorp,Banks,1.19,8.15,7.5,16.84
CAH,Cardinal Health Inc.,Healthcare,1.17,7.33,6.36,14.86
NVR,NVR Inc.,Homebuilders,7.21,7.82,5.24,20.27
TROW,T. Rowe Price Group Inc.,Diversified Financials,2.39,8.95,5.57,16.91
MTB,M&T Bank Corporation,Banks,2.63,10.32,13.58,26.53
TTWO,Take-Two Interactive Software Inc., , , , , 
PHM,PulteGroup Inc.,Homebuilders,9.19,7.31,4.92,21.42
EQR,Equity Residential,Real Estate,2.98,2.87,6.05,11.91
BRO,Brown & Brown Inc.,Insurance,0.13,9.77,10.58,20.48
DOV,Dover Corporation,Machinery,7.98,12.48,5.42,25.88
BF.B,Brown-Forman Corporation, , , , , 
ALGN,Align Technology Inc., , , , , 
AWK,American Water Works Company Inc.,Utilities,9.04,7.58,5,21.62
WY,Weyerhaeuser Company,Real Estate,9.05,4.18,3.45,16.68
VLTO,Veralto Corporation, , , , , 
BR,Broadridge Financial Solutions Inc.,Software & Services,4.19,7.5,4.94,16.63
ETR,Entergy Corporation,Utilities,14.04,7.3,5.32,26.67
BLDR,Builders FirstSource Inc., , , , , 
WDC,Western Digital Corporation,Technology Hardware,1.48,3.91,6.05,11.43
GPC,Genuine Parts Company,Retailing,4.67,5.18,3.8,13.66
AXON,Axon Enterprise Inc., , , , , 
DTE,DTE Energy Company,Utilities,15.03,10.04,4.73,29.8
STT,State Street Corporation,Diversified Financials,1.61,12.95,9.52,24.08
IRM,Iron Mountain Incorporated,Commercial Services,5,3.74,5.76,14.5
CPAY,Corpay Inc., , , , , 
FE,FirstEnergy Corp.,Utilities,10.77,8.99,5.79,25.56
HPE,Hewlett Packard Enterprise Company,Technology Hardware,0.95,4.14,5.6,10.69
IFF,International Flavors & Fragrances Inc.,Chemicals,10.49,5.57,6.63,22.69
PTC,PTC Inc.,Software & Services,4.92,8.61,5.37,18.9
SBAC,SBA Communications Corporation,Telecommunication Services,3.11,3.23,5.23,11.58
HUBB,Hubbell Incorporated,Electrical Equipment,5.6,9.09,4.91,19.6
TSN,Tyson Foods Inc.,Food Products,14.02,12.39,9.51,35.92
DECK,Deckers Outdoor Corporation, , , , , 
MOH,Molina Healthcare Inc., , , , , 
STLD,Steel Dynamics Inc.,Steel,10.56,14.36,8.06,32.98
CTRA,Coterra Energy Inc.,Oil & Gas Producers,20.26,8.34,7.47,36.07
ES,Eversource Energy,Utilities,4.67,8.56,5.39,18.62
ARE,Alexandria Real Estate Equities Inc.,Real Estate,3.91,3.66,6.32,13.89
INVH,Invitation Homes Inc., , , , , 
BAX,Baxter International Inc.,Healthcare,2.83,13.6,7.14,23.57
LYV,Live Nation Entertainment Inc., , , , , 
ROL,Rollins Inc.,Commercial Services,1.76,10.63,6.92,19.31
BALL,Ball Corporation,Containers & Packaging,7.6,0.76,3.74,12.1
WBD,Warner Bros. Discovery Inc., , , , , 
NTAP,NetApp Inc.,Technology Hardware,2.19,7.74,5.5,15.43
STE,STERIS plc, , , , , 
WRB,W. R. Berkley Corporation,Insurance,1.97,7.95,11.91,21.83
ULTA,Ulta Beauty Inc.,Retailing,4.08,7.25,4.28,15.61
MKC,McCormick & Company Incorporated,Food Products,9.63,11.09,5.35,26.07
PPL,PPL Corporation,Utilities,17.08,8.9,5.33,31.32
K,Kellanova Co,Food Products,10.64,13.35,4.38,28.37
HBAN,Huntington Bancshares Incorporated,Banks,1.97,11.19,8.68,21.84
ILMN,Illumina Inc.,Pharmaceuticals,0.11,11.64,6.89,18.64
AEE,Ameren Corporation,Utilities,12.85,9.07,5.25,27.17
TDY,Teledyne Technologies Incorporated, , , , , 
FSLR,First Solar Inc., , , , , 
HRL,Hormel Foods Corporation,Food Products,13.31,10.68,6,30
PFG,Principal Financial Group Inc.,Insurance,0.81,5.82,7.56,14.19
APTV,Aptiv PLC,Auto Components,1.45,3.94,5.26,10.66
CINF,Cincinnati Financial Corporation,Insurance,1.76,10.97,12.88,25.61
CBOE,Cboe Global Markets Inc.,Diversified Financials,2.73,7.58,10.64,20.95
VRSN,VeriSign Inc.,Software & Services,4.74,10.77,5.79,21.3
DRI,Darden Restaurants Inc.,Consumer Services,7.92,15,4.55,27.47
WAT,Waters Corporation,Pharmaceuticals,1.35,8.19,5.09,14.62
CCL,Carnival Corporation & plc,Consumer Services,9.4,10.13,4.96,24.49
OMC,Omnicom Group Inc.,Media,0.09,9.33,6.86,16.28
TXT,Textron Inc.,Aerospace & Defense,10.92,16.08,6.61,33.61
COO,The Cooper Companies Inc.,Healthcare,2.7,8.8,5.96,17.47
CNP,CenterPoint Energy Inc.,Utilities,12.92,10.67,5.14,28.73
J,Jacobs Engineering Group Inc.,Construction & Engineering,5.29,11.46,5.62,22.37
STX,Seagate Technology Holdings plc,Technology Hardware,1.59,3.8,5.26,10.66
HOLX,Hologic Inc.,Healthcare,4.57,12.08,8.35,25
CLX,The Clorox Company,Household Products,7.72,8.59,5.31,21.63
CMS,CMS Energy Corporation,Utilities,9.61,6.84,5.24,21.7
RF,Regions Financial Corporation,Banks,1.82,6.67,8.36,16.85
UAL,United Airlines Holdings Inc.,Transportation,10.78,12.79,5.04,28.61
ATO,Atmos Energy Corporation,Utilities,14.83,13.42,6.36,34.61
TYL,Tyler Technologies Inc., , , , , 
EXPE,Expedia Group Inc.,Retailing,4.27,13.31,10.08,27.65
LUV,Southwest Airlines Co.,Transportation,11.04,13.69,5.95,30.67
IEX,IDEX Corporation,Machinery,10.28,13.72,5.34,29.34
VTR,Ventas Inc.,Real Estate,3.42,3.89,5.56,12.86
LH,Laboratory Corporation of America Holdings,Healthcare,0.43,12.71,6.6,19.74
SYF,Synchrony Financial,Diversified Financials,0.13,9.89,7.25,17.28
CE,Celanese Corporation,Chemicals,14.7,5.86,5.57,26.13
LDOS,Leidos Holdings Inc.,Software & Services,3.37,9.03,5.25,17.65
JBHT,J.B. Hunt Transport Services Inc.,Transportation,3.28,6.55,5,14.82
NTRS,Northern Trust Corporation,Diversified Financials,1.87,11.83,10.17,23.86
L,Loews Corporation,Insurance,0.59,4.25,11.53,16.38
AVY,Avery Dennison Corporation,Containers & Packaging,11.42,0.95,3.71,16.07
DPZ,Domino's Pizza Inc.,Consumer Services,10.65,12.2,6.34,29.19
EQT,EQT Corporation,Oil & Gas Producers,17.66,10.08,7.95,35.69
EXPD,Expeditors International of Washington Inc.,Transportation,4.15,7.56,4.84,16.56
BBY,Best Buy Co. Inc.,Retailing,2.4,9.09,4.4,15.89
MRO,Marathon Oil Corporation,Oil & Gas Producers,21.07,9.05,7.6,37.72
MAS,Masco Corporation,Building Products,9.73,5.64,6.82,22.19
CFG,Citizens Financial Group Inc.,Banks,1.96,10.15,11.43,23.54
FDS,FactSet Research Systems Inc.,Software & Services,4.32,8.75,5.3,18.37
EG,Everest Group Ltd.,Insurance,1.39,6.67,9.91,17.96
SWKS,Skyworks Solutions Inc.,Semiconductors,11.82,8.93,7.21,27.95
BG,Bunge Limited,Food Products,14.39,13.26,5.27,32.92
WBA,Walgreens Boots Alliance Inc.,Food Retailers,1.79,9.29,5.18,16.25
ESS,Essex Property Trust Inc.,Real Estate,3.46,2.84,6.13,12.44
AKAM,Akamai Technologies Inc.,Software & Services,3,7.09,6.93,17.01
ENPH,Enphase Energy Inc., , , , , 
NRG,NRG Energy Inc.,Utilities,16.8,9.5,5.69,31.97
PKG,Packaging Corporation of America,Containers & Packaging,13.96,1.06,3.62,18.64
TER,Teradyne Inc.,Semiconductors,7.11,4.89,5.03,17.03
DGX,Quest Diagnostics Incorporated,Healthcare,0.13,13.07,8,21.21
NDSN,Nordson Corporation,Machinery,8.18,11.61,5.1,24.89
CAG,Conagra Brands Inc.,Food Products,10.71,15.42,4.7,30.83
MAA,Mid-America Apartment Communities Inc.,Real Estate,3.9,2.95,6.25,13.09
CF,CF Industries Holdings Inc.,Chemicals,16.19,7.73,5.42,29.33
JBL,Jabil Inc., , , , , 
TRMB,Trimble Inc.,Technology Hardware,3.76,3.43,5.23,12.41
FOXA,Fox Corporation,Media,58.53,45.13,52.7,50.37
FOX,Fox Corporation, , , , , 
POOL,Pool Corporation, , , , , 
EPAM,EPAM Systems Inc., , , , , 
SNA,Snap-on Incorporated,Machinery,9,13.91,7.62,30.53
ZBRA,Zebra Technologies Corporation, , , , , 
NWS,News Corporation, , , , , 
NWSA,News Corporation,Media,0.02,4.74,6.72,11.47
SWK,Stanley Black & Decker Inc.,Machinery,5,12.51,7.8,25.31
KEY,KeyCorp,Banks,1.59,9.16,10.66,21.42
TAP,Molson Coors Beverage Company,Food Products,7.25,8.61,5.51,21.37
MGM,MGM Resorts International,Consumer Services,1.3,12.97,10.49,24.76
HST,Host Hotels & Resorts Inc.,Real Estate,3.25,4.58,5.52,13.35
VTRS,Viatris Inc., , , , , 
ALB,Albemarle Corporation,Chemicals,15.39,4.85,6.33,26.57
CPB,Campbell Soup Company,Food Products,10.87,8.15,4.47,23.5
BEN,Franklin Resources Inc.,Diversified Financials,1.12,9.88,7.3,18.3
GEN,Gen Digital Inc.,Software & Services,3.35,8.2,5.39,16.94
DOC,Healthpeak Properties Inc., , , , , 
AMCR,Amcor plc, , , , , 
PNR,Pentair plc,Machinery,5.97,10.01,6.07,22.06
AOS,A. O. Smith Corporation,Building Products,7.15,11.87,6.42,25.44
LNT,Alliant Energy Corporation,Utilities,8.54,6.55,6.28,21.36
RVTY,Revvity Inc.,Pharmaceuticals,0.75,10.1,5.85,16.7
KIM,Kimco Realty Corporation,Real Estate,2.35,2.58,5.97,10.9
NI,NiSource Inc.,Utilities,11.98,9.17,4.87,26.02
SJM,The J. M. Smucker Company,Food Products,12.89,11.99,5.57,30.45
CRL,Charles River Laboratories International Inc., , , , , 
UDR,UDR Inc.,Real Estate,3.72,3.91,6.29,13.92
AES,The AES Corporation,Utilities,13.26,8.18,5.26,26.69
JKHY,Jack Henry & Associates Inc.,Software & Services,4.32,8.66,5.68,18.66
WRK,WestRock Company,Containers & Packaging,56.02,58.81,61.85,58.45
LW,Lamb Weston Holdings Inc., , , , , 
EVRG,Evergy Inc., , , , , 
IP,International Paper Company,Paper & Forestry,15.15,4.5,4.81,24.47
APA,APA Corporation,Oil & Gas Producers,21.98,8.88,7.96,38.81
DVA,DaVita Inc.,Healthcare,0.07,14.08,8.42,22.56
IPG,The Interpublic Group of Companies Inc.,Media,0.04,5,5.28,10.32
PODD,Insulet Corporation, , , , , 
JNPR,Juniper Networks Inc.,Technology Hardware,1.82,7.2,5.8,14.82
INCY,Incyte Corporation,Pharmaceuticals,1.06,16.3,7.41,24.76
EMN,Eastman Chemical Company,Chemicals,12.84,5.85,6.59,25.27
ALLE,Allegion plc,Building Products,10.9,5.84,5.04,21.78
LKQ,LKQ Corporation,Retailing,3.8,4,3.27,11.07
REG,Regency Centers Corporation,Real Estate,3.72,3.21,4.77,11.71
WYNN,Wynn Resorts Limited,Consumer Services,3.37,11.75,10.58,25.7
KMX,CarMax Inc.,Retailing,0.09,8.02,3.99,12.1
SOLV,Solventum Corp., , , , , 
